playerLabel,question,answer
Piet Kraak,Piet Kraak的出生日期是什么？,1921-02-14
Piet Kraak,Piet Kraak来自哪个国家？,荷兰王国
Piet Kraak,Piet Kraak的性别是什么？,男
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡的出生日期是什么？,1904-06-02
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡来自哪个国家？,捷克
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡的身高是多少？,179.0
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡的性别是什么？,男
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡的出生日期是什么？,1904-06-02
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡来自哪个国家？,捷克斯洛伐克
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡的身高是多少？,179.0
弗朗齐歇克·普拉尼奇卡,弗朗齐歇克·普拉尼奇卡的性别是什么？,男
利昂内尔·梅西,利昂内尔·梅西的出生日期是什么？,1987-06-24
利昂内尔·梅西,利昂内尔·梅西来自哪个国家？,西班牙
利昂内尔·梅西,利昂内尔·梅西的身高是多少？,169.0
利昂内尔·梅西,利昂内尔·梅西的性别是什么？,男
利昂内尔·梅西,利昂内尔·梅西的出生日期是什么？,1987-06-24
利昂内尔·梅西,利昂内尔·梅西来自哪个国家？,意大利
利昂内尔·梅西,利昂内尔·梅西的身高是多少？,169.0
利昂内尔·梅西,利昂内尔·梅西的性别是什么？,男
利昂内尔·梅西,利昂内尔·梅西的出生日期是什么？,1987-06-24
利昂内尔·梅西,利昂内尔·梅西来自哪个国家？,阿根廷
利昂内尔·梅西,利昂内尔·梅西的身高是多少？,169.0
利昂内尔·梅西,利昂内尔·梅西的性别是什么？,男
亚历山德罗·德尔·皮耶罗,亚历山德罗·德尔·皮耶罗的出生日期是什么？,1974-11-09
亚历山德罗·德尔·皮耶罗,亚历山德罗·德尔·皮耶罗来自哪个国家？,意大利
亚历山德罗·德尔·皮耶罗,亚历山德罗·德尔·皮耶罗的身高是多少？,173.0
亚历山德罗·德尔·皮耶罗,亚历山德罗·德尔·皮耶罗的性别是什么？,男
阿基利安·鲍伦,阿基利安·鲍伦的出生日期是什么？,1902-10-12
阿基利安·鲍伦,阿基利安·鲍伦来自哪个国家？,荷兰王国
阿基利安·鲍伦,阿基利安·鲍伦的性别是什么？,男
齐内丁·齐达内,齐内丁·齐达内的出生日期是什么？,1972-06-23
齐内丁·齐达内,齐内丁·齐达内来自哪个国家？,法國
齐内丁·齐达内,齐内丁·齐达内的身高是多少？,185.0
齐内丁·齐达内,齐内丁·齐达内的性别是什么？,男
羅倫特·白蘭斯,羅倫特·白蘭斯的出生日期是什么？,1965-11-19
羅倫特·白蘭斯,羅倫特·白蘭斯来自哪个国家？,法國
羅倫特·白蘭斯,羅倫特·白蘭斯的身高是多少？,192.0
羅倫特·白蘭斯,羅倫特·白蘭斯的性别是什么？,男
科倫廷·馬丁斯,科倫廷·馬丁斯的出生日期是什么？,1969-07-11
科倫廷·馬丁斯,科倫廷·馬丁斯来自哪个国家？,葡萄牙
科倫廷·馬丁斯,科倫廷·馬丁斯的身高是多少？,172.0
